lens_id,lens_name,mount,focal_length,sharpness,aberration,bokeh,autofocus,handling,value,reviews,views,last_date,recommended_by,price,rating,description,image_link,lens_link
12,SMC Pentax-DA* 55mm F1.4 SDM,7,3,9.7,8.8,9.6,7.8,9.4,8.8,73,"361,394","Sun September 15, 2024",97% of reviewers,$590.75 ,9.18,"The DA* 55mm lens features weather-sealing and SDM auto-focus. This lens does not provide 'screw drive' autofocus. The lens will thus be manual-focus only on older DSLR bodies (*istD series, K100D, K110D).",https://www.pentaxforums.com/lensreviews/data/34/SMC_Pentax-DA_star_55mm_F14_SDM.jpg,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-Star-55mm-F1.4-SDM-Lens.html
13,HD Pentax-DA 70mm F2.4 Limited,7,4,9.5,9.3,9.2,9.1,9.5,9.1,17,"98,013","Tue May 30, 2023",100% of reviewers,$447.61 ,9.35,"The SMC Pentax-DA 70mm F2.4 Limited is high-quality a compact telephoto ""pancake"" lens that is designed only for Pentax DSLRs. The lens is pictured above with the hood on. This lens features Pentax's latest ""HD"" nano coating and is available in both black and silver for $749.95.",https://www.pentaxforums.com/lensreviews/data/34/70mmb.jpg,https://www.pentaxforums.com/lensreviews/hd-pentax-da-70mm-f2.4-limited.html
14,SMC Pentax-DA 70mm F2.4 Limited,7,4,9.6,9.2,9.1,9.1,9.6,9.3,104,"429,680","Mon May 27, 2024",99% of reviewers,$457.77 ,9.41,"The SMC Pentax-DA 70mm F2.4 Limited is high-quality a compact telephoto ""pancake"" lens that is designed only for Pentax DSLR's. The lens is pictured above with the hood on.",https://www.pentaxforums.com/lensreviews/data/34/pentax_70mm.jpg,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-70mm-F2.4-Limited-Lens.html
15,SMC Pentax-DA* 200mm F2.8 ED [IF] SDM,7,4,9.5,8.3,9.5,9.1,9.7,9.3,37,"206,108","Thu February 2, 2023",95% of reviewers,$911.39 ,9.16,This telephoto lens features weather-sealing as well as Pentax's SDM focusing technology. Although designated as a DA lens it covers the full frame (24 x 36mm) format.,https://www.pentaxforums.com/lensreviews/data/34/SMC_Pentax-DA-star_200mm_F28SDM.jpg,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-Star-200mm-F2.8-SDM-Lens.html
16,SMC Pentax-DA* 300mm F4 ED [IF] SDM,7,5,9.7,9.6,9.3,8.1,9.5,9.2,82,"372,594","Thu April 25, 2024",98% of reviewers,"$1,026.60 ",9.56,The Pentax DA* 300mm telephoto lens features weather-sealing as well as Pentax's SDM focusing technology. It has a removable tripod mount.,https://www.pentaxforums.com/lensreviews/data/34/SMC_Pentax-DA-star_300mm_F4SDM.jpg,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-Star-300mm-F4-SDM-Lens.html
17,HD Pentax-DA 560mm F5.6 ED AW,7,5,9.2,8.2,9,9,8.2,8.6,6,"82,105","Fri August 14, 2020",83% of reviewers,"$4,582.83 ",9,"The HD PENTAX-DA 560mm F5.6 ED AW DC extreme telephoto lens was initially announced at the CP+ tradeshow in February, 2012 and officially announced in September, 2012 at Photokina. It went on sale in February, 2013. This lens is designed for the APS-C sensor format. With a modest maximum aperture of 5.6 it is relatively affordable and convenient to carry around. The lens is optimized for rendering distant subjects particularly sharp and well-defined. The DA 560mm is based on optics used in astronomical telescopes. Contrary to popular belief, the lens is not collapsible (it does feature a built-in retractable hood, however). The lens is designed for all-weather use (AW) incorporating a total of 29 seals to protect the innards of the lens. It has a built-in filter holder at the rear taking 40.5mm filters. A circular polarizer filter which can be rotated without removing the filter from the lens is included with the lens. The lens has a built-in DC autofocus motor and features Quick-shift which allows the photographer to manually fine tune focus without switching out of autofocus mode.. On cameras with no support for in-lens autofocus motors (*istD series, K100D and K110D) the lens works as a manual focus lens. This lens features Pentax HD coating, the next generation of multi-coating (supersedes SMC coating). The diaphragm blades are rounded for a smooth bokeh in the range F5.6 to F11. The filter holder at the rear has a wheel that allows for turning the circular polarizer when mounted in the holder.",https://www.pentaxforums.com/lensreviews/data/34/pentaxDA560mmF56.jpg,https://www.pentaxforums.com/lensreviews/hd-pentax-da-560mm-f5.6.html
18,HD Pentax-DA 10-17mm F3.5-4.5 Fish-Eye ED,7,6,9.3,8,7.5,9,9.7,8.7,5,"22,584","Tue November 16, 2021",100% of reviewers,$423.48 ,8.67,"The Pentax 10-17mm fisheye lens provides a 180-degree diagonal Field of View (FoV) on Pentax APS-C format DSLRs. At 17mm, the FOV is reduced to 100 degrees. The image is not rectilinear. The fisheye effect is more dramatic at the wider end of the zoom range. This lens is an upgrade of the earlier smc version and features HD coating and a removable lens hood. W hen mounted on a PENTAX K-1 or PENTAX K-1 Mark II camera body, the photographer can remove the lens hood to produce nearly circular fish-eye images.",https://www.pentaxforums.com/lensreviews/data/43/HD_Pentax-DA_10-17mm_F3_5-4_5_ED_Fish-eye_PFa_w_hood.jpg,https://www.pentaxforums.com/lensreviews/hd-pentax-da-10-17mm-f35-45-fish-eye-ed.html
19,SMC Pentax-DA 10-17mm F3.5-4.5 Fish-Eye ED [IF],7,6,8.4,6.9,7.2,8.9,9.2,9.1,101,"312,275","Wed February 14, 2024",99% of reviewers,$410.93 ,8.93,"The Pentax 10-17mm fisheye lens provides a 180-degree diagonal Field of View (FoV) on Pentax APS-C format DSLRs. At 17mm, the FOV is reduced to 100 degrees. The image is not rectilinear. The fisheye effect is more dramatic at the wider end of the zoom range. In 2019 this lens was replaced by an HD coated version , but it can still be found new as of February 2020.",https://www.pentaxforums.com/lensreviews/data/43/Pentax_10-17_Fisheye_3.jpg,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-10-17mm-F4-Fisheye-Zoom-Lens.html
20,HD Pentax-DA* 11-18mm F2.8 ED DC AW,7,6,10,9.3,9.4,9.6,9.8,9.7,14,"89,650","Sun June 16, 2024",93% of reviewers,"$1,442.08 ",9.92,"This is a high end ultra-wide angle zoom lens for the APS-C format with a large maximum aperture for a wide angle zoom of F2.8. It complements the DA* 16-50mm F2.8 and DA* 50-135mm lenses as a weather sealed trio of F2.8 high performance lenses for the APS-C format. The 11-18mm zoom is weather sealed and features a focus clamp intended to prevent accidental change of focus e.g. when the lens is used for astro-photography. The lens is cold-resistant to -10 degrees centigrade. The exterior is designed with a lens heater groove to prevent dew condensation. To facilitate the installation of the heater, the lens is shaped fairly level, without a bump between the lens barrel and the focus and zoom rings. The lens barrel has been constructed with metallic components for effective transmission of the heat generated by the heater. Case, caps and lens hood are included with the lens. The lens hood features a removable door which allows for rotating a polarizing filter should one be attached. The lens was released on February 22, 2019.",https://www.pentaxforums.com/lensreviews/data/43/HD_PENTAX-DA_11_18mm.jpg,https://www.pentaxforums.com/lensreviews/hd-pentax-da-11-18mm-f28.html
21,SMC Pentax-DA 12-24mm F4 ED AL [IF],7,6,9.3,8,8.1,8.9,9.2,8.7,63,"353,555","Fri August 23, 2024",95% of reviewers,$678.37 ,9.15,This 12-24mm extreme-wide angle zoom lens provides a useful range for landscape and street photography. An alternative would be the heavier and more expensive DA* 11-18mm F2.8 lens.,https://www.pentaxforums.com/lensreviews/data/43/Pentax_12-24_5.jpg,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-12-24mm-F4-Zoom-Lens.html
22,SMC Pentax-DA 16-45mm F4,7,6,8.7,7.9,7.7,8.4,8.4,9.2,120,"471,482","Thu March 30, 2023",94% of reviewers,$265.20 ,8.72,This wide-angle to normal lens is among the earlier DA lenses. It has a fixed maximum aperture of F4 across the entire zoom range.,https://www.pentaxforums.com/lensreviews/data/43/SMC_Pentax_DA_16-45mm.jpg,https://www.pentaxforums.com/lensreviews/SMC-Pentax-DA-16-45mm-F4-Lens.html
